event_id_cnty,event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,admin2,location,latitude,longitude,fatalities
KEN3294,2012-07-18,2012,Explosions/Remote violence,Grenade,Al Shabaab,Civilians (Kenya),Kenya,Wajir,Wajir East,Wajir,1.75,40.06,0
KEN3296,2012-07-21,2012,Strategic developments,Disrupted weapons use,Police Forces of Kenya (2002-2013),Al Shabaab,Kenya,Trans Nzoia,Saboti,Kitale,1.0167,35,0
KEN3301,2012-07-23,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Turkana,Turkana South,Lorogon,1.9307,35.4003,0
KEN3305,2012-07-27,2012,Riots,Mob violence,Rioters (Kenya),Civilians (International),Kenya,Isiolo,Isiolo,Isiolo,0.3546,37.5822,0
KEN3289,2012-07-13,2012,Battles,Armed clash,Police Forces of Kenya (2002-2013),Al Shabaab,Kenya,Mandera,Lafey,Fino,3.3711,41.4468,1
KEN3284,2012-07-09,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Busia,Teso North,Malaba Hills,0.6328,34.2694,0
KEN3297,2012-07-22,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nyamira,Borabu,Nyando,-0.7166,35.0333,0
KEN3258,2012-06-21,2012,Strategic developments,Disrupted weapons use,Al Shabaab,,Kenya,Garissa,Dadaab,Liboi,0.3534,40.8723,0
KEN3272,2012-06-29,2012,Battles,Armed clash,Al Shabaab,Police Forces of Kenya (2002-2013),Kenya,Mandera,Lafey,Fino,3.3711,41.4468,0
KEN3271,2012-06-29,2012,Battles,Armed clash,Al Shabaab,Police Forces of Kenya (2002-2013),Kenya,Mandera,Mandera East,Mandera,3.9357,41.8542,0
KEN3263,2012-06-24,2012,Riots,Mob violence,Rioters (Kenya),Civilians (Kenya),Kenya,Kilifi,Kilifi North,Kilifi,-3.633,39.85,1
KEN3260,2012-06-23,2012,Explosions/Remote violence,Remote explosive/landmine/IED,Police Forces of Kenya (2002-2013),Al Shabaab,Kenya,Mandera,Mandera East,Mandera,3.9357,41.8542,0
KEN3277,2012-07-01,2012,Violence against civilians,Attack,Al Shabaab,Civilians (Kenya),Kenya,Garissa,Garissa,Garissa,-0.4536,39.6461,17
KEN3274,2012-06-29,2012,Violence against civilians,Attack,Al Shabaab,Civilians (Kenya),Kenya,Garissa,Dadaab,Dadaab Refugee Camp,0.0514,40.3142,1
KEN3257,2012-06-20,2012,Strategic developments,Arrests,Police Forces of Kenya (2002-2013),Unidentified Armed Group (International),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3287,2012-07-12,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3290,2012-07-15,2012,Strategic developments,Change to group/activity,Al Hijra Muslim Youth Centre Militia,,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3299,2012-07-22,2012,Riots,Mob violence,Rioters (Kenya),Civilians (Kenya),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,1
KEN3302,2012-07-24,2012,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3298,2012-07-22,2012,Riots,Mob violence,Rioters (Kenya),Civilians (Kenya),Kenya,Nairobi,Kibra,Nairobi - Kibra,-1.3061,36.7857,1
KEN3262,2012-06-24,2012,Explosions/Remote violence,Grenade,Al Shabaab,Civilians (Kenya),Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,3
KEN3267,2012-06-26,2012,Violence against civilians,Abduction/forced disappearance,Police Forces of Kenya (2002-2013),Civilians (Kenya),Kenya,Mombasa,Mvita,Makupa,-4.0338,39.6515,0
KEN3280,2012-07-04,2012,Protests,Protest with intervention,Police Forces of Kenya (2002-2013),Protesters (Kenya),Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN3269,2012-06-28,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi - Starehe,-1.2881,36.8236,0
KEN6905,2012-07-15,2012,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Garissa,Dadaab,Dagahaley,0.1891,40.2832,0
KEN3261,2012-06-23,2012,Strategic developments,Disrupted weapons use,Unidentified Armed Group (Kenya),,Kenya,Nairobi,Dagoretti North,Nairobi - Dagoretti North,-1.2793,36.7789,0
KEN3295,2012-07-20,2012,Battles,Armed clash,Degodia Clan Militia (Kenya),Garre Clan Militia (Kenya),Kenya,Mandera,Banissa,Banissa,3.9439,40.3445,3
KEN3304,2012-07-27,2012,Battles,Armed clash,Degodia Clan Militia (Kenya),Garre Clan Militia (Kenya),Kenya,Mandera,Banissa,Banissa,3.9439,40.3445,3
KEN19945,2012-07-25,2012,Riots,Mob violence,Rioters (Kenya),Civilians (Kenya),Kenya,Kakamega,Butere,Butere,0.2064,34.4935,1
KEN3396,2012-10-03,2012,Strategic developments,Change to group/activity,Police Forces of Kenya (2002-2013),MRC: Mombasa Republican Council,Kenya,Kwale,Matuga,Kwale,-4.1738,39.4521,0
KEN3384,2012-09-28,2012,Strategic developments,Disrupted weapons use,Police Forces of Kenya (2002-2013),Al Shabaab,Kenya,Machakos,Yatta,Matuu,-1.146,37.5475,0
KEN3377,2012-09-24,2012,Violence against civilians,Attack,Police Forces of Kenya (2002-2013),Civilians (Kenya),Kenya,Lamu,Lamu West,Witu,-2.3889,40.4382,0
KEN3375,2012-09-23,2012,Violence against civilians,Attack,Police Forces of Kenya (2002-2013),Civilians (Kenya),Kenya,Lamu,Lamu West,Witu,-2.3889,40.4382,0
